uniqueCell_ID,POINT_X,POINT_Y,country,countryGID,GID_1,province,lcc2000,lcc2005,lcc2008,lcc2011,lcc2014,suitability,treecover,acc_min,urban
130,100.810019123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000780934526119381,71.592887878418,269.589721679688,0
131,100.812199123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000782280287239701,66.9191207885742,266.178649902344,0
132,100.814379123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000787721131928265,62.5080718994141,265.358764648438,0
133,100.929919123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.0008073674980551,80.7914276123047,332.180053710938,0
134,100.932099123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000812893558759242,77.8709411621094,324.870452880859,0
135,100.934279123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000818419619463384,49.8873863220215,317.560882568359,0
136,100.936459123,22.578806619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000823945621959865,57.2759094238281,310.251312255859,0
137,100.938639123,22.578806619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000816770712845027,58.9638748168945,300.026519775391,0
138,100.940819123,22.578806619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000797990243881941,53.4405555725098,287.638916015625,0
139,100.942999123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000779209774918854,65.8928527832031,275.251342773438,0
140,100.945179123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000760429305955768,58.2461929321289,262.863739013672,0
141,100.947359123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00079396937508136,52.8678741455078,254.003143310547,0
142,100.949539123,22.578806619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000849942793138325,54.6112098693848,246.309127807617,0
143,100.951719123,22.578806619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000905916269402951,38.2720146179199,238.615112304688,0
144,100.977879123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00112720672041178,62.6855354309082,157.92008972168,0
145,100.980059123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00112749426625669,62.2282333374024,152.236953735352,0
146,100.982239123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00107892253436148,67.3355178833008,147.220184326172,0
147,100.984419123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00103035080246627,76.654411315918,142.203414916992,0
148,100.986599123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.000981779070571065,77.9661102294922,137.186645507813,0
149,100.988779123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00101317884400487,74.1690216064453,128.224655151367,0
150,100.990959123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00110090209636837,69.0036392211914,117.027183532715,0
151,100.993139123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00118862523231655,78.1512451171875,105.829704284668,0
152,100.995319123,22.578806619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00127634848468006,68.0666351318359,94.6322250366211,0
153,100.997499123,22.578806619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00131819094531238,63.075309753418,88.4470825195313,0
